1 torch.Size([1, 32, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 32, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 32, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 33, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 33, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 33, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 33, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 34, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 34, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 34, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 34, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 35, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 35, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 35, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 35, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 36, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 36, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 36, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 36, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 37, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 37, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 37, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 37, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 38, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 38, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 38, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 38, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 39, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 39, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 39, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 39, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 40, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 40, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 40, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 40, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 41, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 41, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 41, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 41, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 42, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 42, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 42, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 42, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 43, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 43, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 43, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 43, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 44, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 44, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 44, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 44, 128]) tensor([-0.0591,  0.0725, -0.3412])
0 torch.Size([1, 45, 128]) tensor([0.2535, 0.0151, 0.0813])
1 torch.Size([1, 45, 128]) tensor([ 0.2337,  0.1939, -0.0349])
2 torch.Size([1, 45, 128]) tensor([-0.2448,  0.1281, -0.0276])
3 torch.Size([1, 45, 128]) tensor([-0.0591,  0.0725, -0.3412])
